time,x_mm,y_mm,z_mm,u1,v1,u2,v2,r1,r2,a1,a2
2026-01-15T14:06:15,150.653,-92.3252,381.515,954.222,703.978,49.3668,691.409,0,0,1395.5,1072
2026-01-15T14:06:16,161.077,-96.7614,389.19,958.146,704.185,64.9045,698.488,0,0,1186.5,1512.5
2026-01-15T14:06:16,163.655,-100.559,385.981,955.07,698.588,74.5994,692.634,0,0,1353.5,560
2026-01-15T14:06:16,170.945,-96.9445,396.373,959.756,712.342,80.3882,703.108,0,0,1952,906
2026-01-15T14:06:16,162.109,-93.9801,383.004,960.726,709.079,68.3502,689.384,0,0,1831,524.5
2026-01-15T14:06:16,153.512,-89.9818,377.29,953.317,711.037,57.5281,683.13,0,0,1304,1039
2026-01-15T14:06:16,156.33,-98.1272,369.72,969.194,691.505,59.7159,678.533,0,0,691.5,599.5
2026-01-15T14:06:17,154.555,-74.0468,376.783,940.458,749.303,63.9269,672.992,0,0,5925,403.5
2026-01-15T14:06:17,179.943,-61.8886,473.013,887.52,810.558,100.346,774.176,0,0,20823.5,10097
2026-01-15T14:06:17,182.432,-67.5358,491.203,850.572,811.328,123.733,786.525,0,0,22344,12360.5
2026-01-15T14:06:17,184.179,-71.6518,492.665,816.093,810.77,149.161,774.417,0,0,19125,8193.5
2026-01-15T14:06:17,187.694,-78.5962,516.744,787.996,806.924,168.164,796.63,0,0,15157,10548.5
2026-01-15T14:06:17,191.389,-87.2673,530.036,771.672,796.88,184.32,807.079,0,0,11141.5,8193
2026-01-15T14:06:17,202.776,-93.0918,552.83,760.369,794.81,211.652,826.045,0,0,7161.5,10818.5
2026-01-15T14:06:18,218.414,-115.825,558.096,770.591,759.273,240.575,826.066,0,0,1267,5524
2026-01-15T14:06:18,213.38,-144.925,617.726,743.48,733.917,239.795,903.27,0,0,2080.5,2984
2026-01-15T14:06:18,205.466,-154.606,637.094,726.46,726.125,233.251,927.706,0,0,1206.5,950
2026-01-15T14:06:18,242.919,-103.866,590.105,748.289,787.488,299.339,837.311,0,0,187,479
2026-01-15T14:06:18,238.063,-136.071,544.446,709.649,717.338,317.971,757.459,0,0,111,438
